  Charge-charge screening following:
                 1             2             3             4             5
      1   0.000000D+00  0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01
      2   0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      3   0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      4   0.100000D+01  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      5   0.100000D+01  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      6   0.100000D+01  0.100000D+01  0.000000D+00  0.100000D+01  0.000000D+00
      7   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.000000D+00
      8   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
      9   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     10   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     11   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     12   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     13   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     14   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     15   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     16   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     17   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     18   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     19   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     20   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     21   0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.100000D+01
     22   0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.100000D+01
     23   0.000000D+00  0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01
     24   0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.100000D+01
     25   0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.100000D+01
     26   0.100000D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.100000D+01
     27   0.100000D+01  0.100000D+01  0.000000D+00  0.100000D+01  0.000000D+00
     28   0.100000D+01  0.100000D+01  0.000000D+00  0.100000D+01  0.000000D+00
     29   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.000000D+00
     30   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.000000D+00
     31   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     32   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     33   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     34   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     35   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     36   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     37   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     38   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     39   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
